startup_name,industry,country,founded_year,startup_age,funding_stage,total_funding_usd,team_size,monthly_revenue_usd,annual_revenue_usd,active_users,customer_growth_rate,burn_rate,runway_months,valuation_usd,business_model,number_of_competitors,market_size_usd,market_growth_rate,founder_experience_years,previous_startups,employee_growth_rate,customer_retention_rate,profitability,startup_stage,acquisition_status,ipo_status,success_label,startup_description,website,logo_url,headquarters_city,headquarters_state,headquarters_country,funding_round_date,top_investor,competitor_1,competitor_2,competitor_3,market_trend_score,innovation_score,investor_interest_score,technology_stack,target_audience,unique_selling_proposition,startup_stage_description,employee_count_last_year,monthly_active_users_last_year,customer_acquisition_cost_usd,lifetime_value_usd
Yatraify,Proptech,India,2022,4,Series A,7268194.0,19.0,262565.0,3150780.0,169223.0,0.1016,0.0,999.0,19447000.0,Freemium,16.0,988287478.0,0.1545,21.0,4.0,0.3131,0.7869,True,Scaling,Not Acquired,Private,Successful,"A property management startup providing Freemium digital rent collection and security automation software. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.yatraify.com,https://placehold.co/200x200?text=Yatraify,Bengaluru,Karnataka,India,2023-09-25,Chiratae Ventures,NoBroker,Stanza Living,99acres,82,22,67,"Next.js, Python, FastAPI, PostgreSQL, GCP, Elasticsearch, Docker",Individual landlords tracking rents and tenants across residential buildings.,Zero-brokerage rental platform providing 100% verified tenant credit and background reports.,"Growing market share, expanding engineering and sales teams, and scaling system servers.",18.0,130795.0,1020.87,4325.47
Primebook,E-commerce,India,2020,6,Series A,6636864.0,23.0,44276.0,531312.0,18640.0,0.01,26431.29,39.4,13820000.0,Transactional,11.0,3573453415.0,0.0852,15.0,0.0,0.0184,0.6059,False,Scaling,Not Acquired,Private,Failed,"A fast-growing Transactional brand marketplace offering hand-curated sustainable home decor products. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.primebook.com,https://placehold.co/200x200?text=Primebook,Hyderabad,Telangana,India,2021-02-24,Nexus Venture Partners,Meesho,Jiomart,Blinkit,36,36,52,"Next.js, Python, Django, MySQL, AWS S3, Redis, Shopify APIs",Tier-2 city households purchasing bulk monthly groceries online.,"Direct-to-consumer model connecting organic farmers to households, bypassing local brokers.",Struggling to sustain daily operations due to cash runway constraints and customer churn.,17.0,13910.0,19.61,61.56
GridCare,Cybersecurity,India,2016,10,Late Stage,6636864.0,510.0,3499476.0,41993712.0,141015.0,0.1875,0.0,999.0,890837000.0,Subscription,21.0,5591198609.0,0.1249,13.0,4.0,0.6418,0.8296,True,Mature,Not Acquired,Private,Successful,"A zero-trust access management platform offering Subscription authorization systems for remote developers. With a dedicated focus on user experience and localization, they are solving critical pain points in highly fragmented sectors.",https://www.gridcare.com,https://placehold.co/200x200?text=GridCare,Hyderabad,Telangana,India,2023-04-18,Qatar Investment Authority,Instasafe,Securden,Subex,59,71,83,"Python, Rust, FastAPI, PostgreSQL, GCP, Docker, Kubernetes, Terraform",Direct-to-consumer platforms handling high volumes of online user accounts.,Decentralized secure identity vault built on zero-knowledge cryptographic proofs.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",340.0,126079.0,1614.22,8023.39
Apexsecure,Healthcare,India,2018,8,Late Stage,312952228.0,882.0,4265317.0,51183804.0,24842.0,0.1547,0.0,999.0,2092057000.0,Transactional,19.0,17402673502.0,0.3822,10.0,0.0,0.5266,0.8133,True,Mature,Not Acquired,Private,Successful,"A healthcare startup providing an integrated Transactional ecosystem for teleconsultations and digital health record management. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.apexsecure.com,https://placehold.co/200x200?text=Apexsecure,Bengaluru,Karnataka,India,2024-01-19,Steadview Capital,MediBuddy,HealthifyMe,PharmEasy,20,29,100,"Python, Django, React Native, PostgreSQL, AWS, Redis, HIPAA Compliance APIs",Patients in metropolitan areas needing quick at-home diagnostic screenings.,Hyper-local home medicine delivery in under 15 minutes with automated prescription verification.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",762.0,19430.0,159.97,601.53
VeloBook,E-commerce,India,2017,9,Series C,96344695.0,357.0,2142085.0,25705020.0,510819.0,0.1608,0.0,999.0,536303000.0,Marketplace,20.0,1234439927.0,0.1197,9.0,3.0,0.4793,0.8752,True,Mature,Not Acquired,Private,Successful,"A fast-growing Marketplace brand marketplace offering hand-curated sustainable home decor products. By removing unnecessary middlemen, the team is empowering small businesses to scale efficiently in a digital-first economy.",https://www.velobook.com,https://placehold.co/200x200?text=VeloBook,Bengaluru,Karnataka,India,2022-05-22,Lightspeed India,Zepto,Blinkit,Meesho,93,93,90,"React, Node.js, Express, PostgreSQL, AWS, Elasticsearch, Redis, Stripe",Local retail merchants wanting to list catalog items for home delivery.,Optimized next-day parcel delivery to Tier-2 and Tier-3 Indian cities at rock-bottom prices.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",298.0,344178.0,51.71,171.95
LensStay,E-commerce,India,2021,5,Series A,7578259.0,50.0,245321.0,2943852.0,202119.0,0.1173,0.0,999.0,37725000.0,B2C,7.0,4755370250.0,0.1535,4.0,4.0,0.4286,0.5948,True,Scaling,Not Acquired,Private,Successful,A fast-growing B2C brand marketplace offering hand-curated sustainable home decor products. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.lensstay.com,https://placehold.co/200x200?text=LensStay,Bengaluru,Karnataka,India,2023-06-14,Nexus Venture Partners,Amazon India,Jiomart,BigBasket,26,32,63,"Next.js, Python, Django, MySQL, AWS S3, Redis, Shopify APIs",Tier-2 city households purchasing bulk monthly groceries online.,Optimized next-day parcel delivery to Tier-2 and Tier-3 Indian cities at rock-bottom prices.,"Growing market share, expanding engineering and sales teams, and scaling system servers.",38.0,174658.0,43.51,191.6
Syncshare,Logistics,India,2020,6,Series A,5883656.0,39.0,109280.0,1311360.0,211.0,0.0624,0.0,999.0,16752000.0,B2B,20.0,1820850855.0,0.2576,3.0,1.0,0.1883,0.682,True,Scaling,Not Acquired,Private,Failed,"A freight logistics startup providing an on-demand B2B marketplace matching shippers with empty container trucks. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.syncshare.com,https://placehold.co/200x200?text=Syncshare,Bengaluru,Karnataka,India,2023-08-05,Nexus Venture Partners,Porter,Dunzo,Shadowfax,51,29,38,"Go, Python, PostgreSQL, AWS S3, RabbitMQ, Docker, Google Maps API",Small trucking companies trying to reduce deadhead return miles.,Dynamic routing algorithm that reduces last-mile dispatch miles by up to 25%.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,28.0,128.0,109.99,469.65
Velosync,Healthcare,India,2024,2,Seed,1297897.0,12.0,51563.0,618756.0,188.0,0.0764,0.0,999.0,3610000.0,B2B,3.0,27261502211.0,0.3567,8.0,1.0,0.2764,0.8017,True,Early Traction,Not Acquired,Private,Successful,"An health-wellness company offering a custom B2B fitness and preventive care ecosystem for corporate employees. With a dedicated focus on user experience and localization, they are solving critical pain points in highly fragmented sectors.",https://www.velosync.com,https://placehold.co/200x200?text=Velosync,Hyderabad,Telangana,India,2024-04-06,Chiratae Ventures,Medika,MediBuddy,PharmEasy,71,27,70,"Node.js, Express, Flutter, MongoDB, GCP, Firebase, Twilio APIs",Patients in metropolitan areas needing quick at-home diagnostic screenings.,Proprietary AI diagnostic screening assistant boasting a validated 98.4% clinical accuracy rate.,"Acquiring paid users, optimizing pricing strategies, and achieving early product-market fit.",10.0,167.0,99.34,351.65
Terrazone,Healthcare,India,2023,3,Series B,17670984.0,180.0,2330860.0,27970320.0,19174657.0,0.0943,0.0,999.0,120157000.0,B2C,6.0,10065920970.0,0.3175,12.0,3.0,0.2621,0.7743,True,Scaling,Not Acquired,Private,Successful,"A diagnostic-tech company leveraging B2C distribution to deliver rapid pathology lab tests directly to homes. The platform leverages proprietary algorithms to deliver premium, customizable solutions at a fraction of standard market costs.",https://www.terrazone.com,https://placehold.co/200x200?text=Terrazone,Bengaluru,Karnataka,India,2026-03-07,Matrix Partners India,MediBuddy,Practo,HealthifyMe,89,27,80,"Python, Django, React Native, PostgreSQL, AWS, Redis, HIPAA Compliance APIs",Patients in metropolitan areas needing quick at-home diagnostic screenings.,"An integrated digital health wallet combining health records, insurance, and doctor chats.","Growing market share, expanding engineering and sales teams, and scaling system servers.",120.0,13805949.0,133.22,458.17
CoreBazaar,Healthcare,India,2023,3,Series B,24189999.0,188.0,1256035.0,3620208.0,3782647.0,0.1343,0.0,999.0,159429000.0,B2C,17.0,15001427590.0,0.3292,4.0,1.0,0.4457,0.9067,True,Scaling,Not Acquired,Private,Successful,"A diagnostic-tech company leveraging B2C distribution to deliver rapid pathology lab tests directly to homes. With a dedicated focus on user experience and localization, they are solving critical pain points in highly fragmented sectors.",https://www.corebazaar.com,https://placehold.co/200x200?text=CoreBazaar,Chennai,Tamil Nadu,India,2025-01-17,Peak XV Partners,Tata 1mg,Practo,HealthifyMe,28,50,85,"Python, Django, React Native, PostgreSQL, AWS, Redis, HIPAA Compliance APIs",Independent doctors and clinical groups wanting to digitize their prescription cards.,Hyper-local home medicine delivery in under 15 minutes with automated prescription verification.,"Growing market share, expanding engineering and sales teams, and scaling system servers.",146.0,3665336.0,64.36,197.21
CorePay,Proptech,India,2022,4,Series A,2341919.0,52.0,265035.0,3180420.0,2181.0,0.1162,0.0,999.0,8027000.0,B2B,17.0,2486736675.0,0.0556,13.0,1.0,0.4312,0.9537,True,Scaling,Not Acquired,Private,Successful,"A property management startup providing B2B digital rent collection and security automation software. With a dedicated focus on user experience and localization, they are solving critical pain points in highly fragmented sectors.",https://www.corepay.com,https://placehold.co/200x200?text=CorePay,Bengaluru,Karnataka,India,2023-07-22,Chiratae Ventures,Stanza Living,Magicpin,99acres,53,46,80,"React, Node.js, MongoDB, AWS, Redis, Google Maps API, Stripe",Individual landlords tracking rents and tenants across residential buildings.,"All-in-one digital tenant onboarding, rent collection, and repairs log application.","Growing market share, expanding engineering and sales teams, and scaling system servers.",41.0,1770.0,431.13,1475.31
CredPe Technologies,AI & Machine Learning,India,2021,5,Series B,13874352.0,88.0,941988.0,11303856.0,973.0,0.1539,0.0,999.0,62730000.0,B2B,19.0,4452536891.0,0.2828,12.0,3.0,0.5585,0.7801,True,Mature,Acquired,Private,Successful,"A cutting-edge B2B software utilizing generative AI agents to automate customer service in local Indian languages. By removing unnecessary middlemen, the team is empowering small businesses to scale efficiently in a digital-first economy.",https://www.credpetechnologies.com,https://placehold.co/200x200?text=CredPe%20Technologies,Mumbai,Maharashtra,India,2023-01-15,Chiratae Ventures,Haptik,Arya.ai,Gupshup,47,84,76,"Python, PyTorch, FastAPI, PostgreSQL, AWS, Docker, Kubernetes",Industrial factories needing hardware monitoring for machinery safety.,Real-time conversational voice AI engine fine-tuned to capture 12 major Indian accents.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",69.0,605.0,1129.36,4868.53
Growpe,AI & Machine Learning,India,2016,10,Series B,6636864.0,143.0,1573399.0,18880788.0,2920612.0,0.3547,0.0,999.0,119126000.0,B2C,10.0,27327446916.0,0.3363,19.0,0.0,1.1778,0.893,True,Mature,Acquired,Private,Successful,"A cutting-edge B2C software utilizing generative AI agents to automate customer service in local Indian languages. By removing unnecessary middlemen, the team is empowering small businesses to scale efficiently in a digital-first economy.",https://www.growpe.com,https://placehold.co/200x200?text=Growpe,Bengaluru,Karnataka,India,2021-09-23,Matrix Partners India,Arya.ai,CoRover,Gupshup,58,33,68,"Python, TensorFlow, Flask, MongoDB, GCP, Docker, HuggingFace",Enterprise customer service divisions wishing to automate voice operations.,Real-time conversational voice AI engine fine-tuned to capture 12 major Indian accents.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",117.0,1958329.0,785.74,2576.65
DukaanFit,E-commerce,India,2022,4,Series B,16796677.0,179.0,2335339.0,28024068.0,132808.0,0.1512,0.0,999.0,73661000.0,Subscription,9.0,469708320.0,0.1092,18.0,2.0,0.4078,0.9357,True,Mature,Acquired,Private,Successful,"A specialized Subscription platform offering premium beauty and personal care products tailored for Indian skin tones. With a dedicated focus on user experience and localization, they are solving critical pain points in highly fragmented sectors.",https://www.dukaanfit.com,https://placehold.co/200x200?text=DukaanFit,Bengaluru,Karnataka,India,2025-10-07,Nexus Venture Partners,BigBasket,Meesho,Amazon India,53,84,91,"Next.js, Python, Django, MySQL, AWS S3, Redis, Shopify APIs","Gen Z and millennial shoppers seeking ethical, direct-to-consumer fashion products.","Direct-to-consumer model connecting organic farmers to households, bypassing local brokers.","Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",131.0,96018.0,36.95,166.05
InnoScale,AI & Machine Learning,India,2016,10,Series A,6067310.0,57.0,138777.0,1665324.0,285.0,0.1155,0.0,999.0,28748000.0,B2B,12.0,13357154273.0,0.3876,12.0,1.0,0.4414,0.7637,True,Scaling,Not Acquired,Private,Failed,"A computer vision company building B2B visual inspection tools for quality assurance in logistics lines. The platform leverages proprietary algorithms to deliver premium, customizable solutions at a fraction of standard market costs.",https://www.innoscale.com,https://placehold.co/200x200?text=InnoScale,Hyderabad,Telangana,India,2017-01-11,Lightspeed India,Yellow.ai,CoRover,Skye,40,76,45,"Python, PyTorch, Django, MySQL, AWS, PySpark, Docker",Industrial factories needing hardware monitoring for machinery safety.,Fraud prevention engine using deep graph networks to detect syndicate accounts instantly.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,43.0,210.0,1298.8,4466.11
Karmamandi Technologies,Edtech,India,2019,7,Series C,38530615.0,519.0,4635203.0,55622436.0,100926.0,0.1025,0.0,999.0,268478000.0,Subscription,5.0,98589795.0,0.0898,19.0,2.0,0.3286,0.9485,True,Mature,Not Acquired,Private,Successful,A vernacular-first learning platform delivering high-quality Subscription courses for competitive government exams. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.karmamanditechnologies.com,https://placehold.co/200x200?text=Karmamandi%20Technologies,Bengaluru,Karnataka,India,2024-09-02,Steadview Capital,Vedantu,Simplilearn,Adda247,38,75,68,"Node.js, React, PostgreSQL, AWS CloudFront, Zoom API, Redis, Docker",Aspirants preparing for national and state civil services examinations.,Vernacular-first test prep app containing video classes in 8 regional Indian languages.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",483.0,67533.0,116.43,525.28
Flowmetrics Solutions,Cybersecurity,India,2019,7,Series C,71949529.0,423.0,3146172.0,37754064.0,86908.0,0.1195,0.0,999.0,279614000.0,Subscription,15.0,13326960778.0,0.1945,14.0,3.0,0.4501,0.7641,True,Mature,Not Acquired,Private,Successful,"A cloud security startup delivering Subscription continuous threat monitoring and automated patch deployment. By removing unnecessary middlemen, the team is empowering small businesses to scale efficiently in a digital-first economy.",https://www.flowmetricssolutions.com,https://placehold.co/200x200?text=Flowmetrics%20Solutions,Bengaluru,Karnataka,India,2024-11-04,Peak XV Partners,Securden,Kratikal,Lucideus (Safe Security),99,39,75,"Go, Python, C++, AWS, Elasticsearch, Kibana, Docker, Redis, Vault",Fintech and banking startups working to meet strict regulatory audits.,Decentralized secure identity vault built on zero-knowledge cryptographic proofs.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",394.0,76891.0,1366.66,6264.99
Udyogdesk,AI & Machine Learning,India,2025,1,Series A,1720233.0,64.0,910075.0,10920900.0,649001.0,0.0713,0.0,999.0,5392000.0,Freemium,20.0,25370139323.0,0.3936,8.0,3.0,0.1919,0.9101,True,Ideation,Not Acquired,Private,Successful,"A cutting-edge Freemium software utilizing generative AI agents to automate customer service in local Indian languages. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.udyogdesk.com,https://placehold.co/200x200?text=Udyogdesk,Gurugram,Haryana,India,2026-07-26,Matrix Partners India,Fractal Analytics,Yellow.ai,Haptik,33,68,62,"Python, TensorFlow, Flask, MongoDB, GCP, Docker, HuggingFace",Enterprise customer service divisions wishing to automate voice operations.,Real-time conversational voice AI engine fine-tuned to capture 12 major Indian accents.,"Developing initial wireframes, gathering customer survey data, and refining core vision.",50.0,492655.0,627.06,2359.78
EduLy,CleanTech,India,2020,6,Series C,71395350.0,210.0,1349397.0,16192764.0,8604486.0,0.1397,0.0,999.0,284149000.0,B2C,10.0,1751571746.0,0.1974,7.0,4.0,0.5183,0.9111,True,Mature,Not Acquired,Private,Successful,"A sustainability platform offering B2C carbon accounting software for enterprise manufacturing plants. By removing unnecessary middlemen, the team is empowering small businesses to scale efficiently in a digital-first economy.",https://www.eduly.com,https://placehold.co/200x200?text=EduLy,Bengaluru,Karnataka,India,2024-04-01,Temasek,Ola Electric,ReNew Power,BluSmart,55,28,77,"Go, Python, GCP IoT Core, MongoDB, InfluxDB, Docker, Kubernetes",Residential residential societies installing community rooftop solar panels.,AI-optimized hybrid solar inverter switching system reducing power loss by 22%.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",150.0,6385219.0,526.84,2163.44
Logisecure,Edtech,India,2017,9,Seed,762010.0,4.0,0.0,0.0,17886.0,-0.0582,31650.68,9.5,2295000.0,B2C,17.0,1231716044.0,0.1383,14.0,0.0,-0.1213,0.3198,False,Validation,Not Acquired,Private,Failed,"An interactive online academy focusing on live B2C coding classes for kids and teenagers in Tier-1/2 cities. With a dedicated focus on user experience and localization, they are solving critical pain points in highly fragmented sectors.",https://www.logisecure.com,https://placehold.co/200x200?text=Logisecure,Bengaluru,Karnataka,India,2017-02-09,Blume Ventures,Simplilearn,Physics Wallah,Adda247,96,75,32,"Ruby on Rails, Vue.js, MySQL, GCP, WebRTC, Redis",Aspirants preparing for national and state civil services examinations.,Vernacular-first test prep app containing video classes in 8 regional Indian languages.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,3.0,12313.0,153.92,671.62
