"id","name","investment_firm","investor_type","firm_logo","short_description","investment_thesis","preferred_industries","preferred_startup_stages","preferred_funding_stages","preferred_business_models","preferred_locations","min_investment_amount","max_investment_amount","typical_check_size","portfolio_size","portfolio_companies","successful_exits","total_investments","website","linkedin","contact_email","application_url","verified","active","created_at","updated_at","about_details","banner_image","office_photo","portfolio_companies_json","recent_investments_json","representative_photo","team_members_json"
"369","Unicorn Opportunity Fund","Unicorn Opportunity Fund","Family Office","https://images.unsplash.com/photo-1604871000636-074fa5117945?w=150&auto=format&fit=crop&q=60","Private family office investing in mid-to-late stage technology leaders in Fintech.","We support high-growth startups in Fintech and BioTech with venture debt and flexible non-dilutive capital. We partner with founders who already have institutional VC backing.","[""Fintech"", ""BioTech"", ""Robotics"", ""HRTech"", ""Insurtech""]","[""Prototype"", ""Idea""]","[""Series C"", ""Late Stage"", ""Seed"", ""Growth""]","[""Marketplace"", ""B2C"", ""B2B2C"", ""Subscription"", ""Transactional""]","[""Gurugram"", ""Mumbai"", ""Hyderabad""]","1435000.0","21600000.0","5902000.0","104","BioZone, CredIfy, SehatRoom, BharatIq, PulseMoney, HealthSecure","7","154","https://www.unicornopportunityfund.com","https://www.linkedin.com/company/unicornopportunityfund","info@unicornopportunityfund.com","https://www.unicornopportunityfund.com/apply","true","true","2024-07-02 18:31:29","2024-08-24 18:31:29","### About Unicorn Opportunity Fund

Unicorn Opportunity Fund is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Fintech**, **BioTech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.unicornopportunityfund.com/apply.","https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366216548-37526070297c?w=600&auto=format&fit=crop&q=80","[{""name"": ""BioZone"", ""logo"": ""https://logo.clearbit.com/biozone.com"", ""sector"": ""Robotics"", ""stage"": ""Late Stage""}, {""name"": ""CredIfy"", ""logo"": ""https://logo.clearbit.com/credify.com"", ""sector"": ""Insurtech"", ""stage"": ""Series C""}, {""name"": ""SehatRoom"", ""logo"": ""https://logo.clearbit.com/sehatroom.com"", ""sector"": ""Fintech"", ""stage"": ""Growth""}]","[{""company_name"": ""AquaTrip"", ""amount"": 6401000.0, ""date"": ""2026-01-08"", ""stage"": ""Series C""}, {""company_name"": ""SolarBazaar"", ""amount"": 6277000.0, ""date"": ""2025-08-04"", ""stage"": ""Growth""}, {""company_name"": ""BazaarDhan"", ""amount"": 4784000.0, ""date"": ""2025-09-10"", ""stage"": ""Late Stage""}]","https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=400&auto=format&fit=crop&q=80","[{""name"": ""Neha Reddy"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/unicornopportunityfund""}, {""name"": ""Vihan Johal"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/vihan-johal""}]"
"370","Chiratae Fund","Chiratae Fund","Micro VC","https://images.unsplash.com/photo-1541701494587-cb58502866ab?w=150&auto=format&fit=crop&q=60","Leading institutional VC backing sector-defining startups in the CleanTech space.","We believe that the next decade of growth in India will be driven by digitizing traditional industries like CleanTech and Consumer Internet. We invest in category-defining companies with high capital efficiency.","[""CleanTech"", ""Consumer Internet"", ""Proptech"", ""AI & Machine Learning"", ""B2B Marketplaces"", ""Enterprise Software""]","[""Early Traction"", ""Idea"", ""MVP"", ""Growth""]","[""Seed"", ""Growth"", ""Late Stage""]","[""B2B2C"", ""D2C"", ""Subscription"", ""Freemium""]","[""Kolkata"", ""Pune"", ""Ahmedabad""]","113000.0","1120000.0","502000.0","44","DhanFlow, LensDukaan, IndiPe, IndiZone, SehatRoom, LogiHub","2","81","https://www.chirataefund.vc","https://www.linkedin.com/company/chirataefund","info@chirataefund.vc","https://www.chirataefund.vc/apply","true","true","2025-04-17 18:31:29","2025-07-12 18:31:29","### About Chiratae Fund

Chiratae Fund is a leading early/growth stage investor focusing on tech enablement. We backing startups in **CleanTech**, **Consumer Internet** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.chirataefund.vc/apply.","https://images.unsplash.com/photo-1557683316-973673baf926?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1531973576160-7125cd663d86?w=600&auto=format&fit=crop&q=80","[{""name"": ""DhanFlow"", ""logo"": ""https://logo.clearbit.com/dhanflow.com"", ""sector"": ""Consumer Internet"", ""stage"": ""Late Stage""}, {""name"": ""LensDukaan"", ""logo"": ""https://logo.clearbit.com/lensdukaan.com"", ""sector"": ""B2B Marketplaces"", ""stage"": ""Late Stage""}, {""name"": ""IndiPe"", ""logo"": ""https://logo.clearbit.com/indipe.com"", ""sector"": ""Enterprise Software"", ""stage"": ""Seed""}]","[{""company_name"": ""MetaWorks"", ""amount"": 416000.0, ""date"": ""2026-04-19"", ""stage"": ""Growth""}, {""company_name"": ""AquaGo"", ""amount"": 522000.0, ""date"": ""2025-08-15"", ""stage"": ""Late Stage""}]","https://images.unsplash.com/photo-1580489944761-15a19d654956?w=400&auto=format&fit=crop&q=80","[{""name"": ""Rohan Das"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/chirataefund""}, {""name"": ""Shweta Gill"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/shweta-gill""}, {""name"": ""Rohan Tandon"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/rohan-tandon""}]"
"371","GGV Labs","GGV Labs","Early-Stage VC","https://images.unsplash.com/photo-1626908013351-800ddd734b8a?w=150&auto=format&fit=crop&q=60","Private family office investing in mid-to-late stage technology leaders in Climate Tech.","We support high-growth startups in Climate Tech and Spacetech with venture debt and flexible non-dilutive capital. We partner with founders who already have institutional VC backing.","[""Climate Tech"", ""Spacetech"", ""Deeptech"", ""Logistics""]","[""Early Traction"", ""Growth""]","[""Series C"", ""Pre-Seed"", ""Seed""]","[""SaaS"", ""D2C"", ""B2B2C"", ""Transactional""]","[""Pune"", ""Ahmedabad""]","183000.0","6560000.0","2639000.0","47","QuantumRide, HealthStay, ApexFit, EduRoom, DataSecure, FlowTrip","5","79","https://www.ggvlabs.vc","https://www.linkedin.com/company/ggvlabs","info@ggvlabs.vc","https://www.ggvlabs.vc/apply","true","true","2025-08-09 18:31:29","2025-10-18 18:31:29","### About GGV Labs

GGV Labs is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Climate Tech**, **Spacetech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.ggvlabs.vc/apply.","https://images.unsplash.com/photo-1634017839464-5c339ebe3cb4?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=600&auto=format&fit=crop&q=80","[{""name"": ""QuantumRide"", ""logo"": ""https://logo.clearbit.com/quantumride.com"", ""sector"": ""Spacetech"", ""stage"": ""Series C""}, {""name"": ""HealthStay"", ""logo"": ""https://logo.clearbit.com/healthstay.com"", ""sector"": ""Deeptech"", ""stage"": ""Seed""}, {""name"": ""ApexFit"", ""logo"": ""https://logo.clearbit.com/apexfit.com"", ""sector"": ""Deeptech"", ""stage"": ""Seed""}]","[{""company_name"": ""KhataKart"", ""amount"": 2435000.0, ""date"": ""2025-08-15"", ""stage"": ""Series C""}, {""company_name"": ""ShipKart"", ""amount"": 3123000.0, ""date"": ""2025-09-08"", ""stage"": ""Series C""}, {""company_name"": ""FlexTrip"", ""amount"": 2456000.0, ""date"": ""2025-10-01"", ""stage"": ""Pre-Seed""}]","https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=400&auto=format&fit=crop&q=80","[{""name"": ""Ishita Kumar"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/ggvlabs""}, {""name"": ""Neha Sidhu"", ""role"": ""Partner"", ""linkedin"": ""https://www.linkedin.com/in/neha-sidhu""}]"
"372","Indian Angel Venture Partners","Indian Angel Venture Partners","Institutional VC","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=150&auto=format&fit=crop&q=60","Independent angel investor and startup operator backing early teams in AI & Machine Learning.","We partner early with visionary founders who are leveraging technology to solve massive problems in AI & Machine Learning and CleanTech. Our goal is to provide structural support from seed to scale.","[""AI & Machine Learning"", ""CleanTech"", ""Logistics"", ""Web3""]","[""Scaling"", ""Idea"", ""MVP""]","[""Late Stage"", ""Series C"", ""Series B"", ""Series A""]","[""Subscription"", ""B2C"", ""Transactional""]","[""Hyderabad"", ""Jaipur"", ""Bengaluru"", ""Ahmedabad""]","682000.0","30900000.0","7335000.0","416","InnoFlow, EduDhan, DukaanSecure, BioShow, LinkIfy","36","457","https://www.indianangelventurepartners.com","https://www.linkedin.com/company/indianangelventurepartners","info@indianangelventurepartners.com","https://www.indianangelventurepartners.com/apply","true","true","2025-03-01 18:31:29","2025-05-06 18:31:29","### About Indian Angel Venture Partners

Indian Angel Venture Partners is a leading early/growth stage investor focusing on tech enablement. We backing startups in **AI & Machine Learning**, **CleanTech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.indianangelventurepartners.com/apply.","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1531973576160-7125cd663d86?w=600&auto=format&fit=crop&q=80","[{""name"": ""InnoFlow"", ""logo"": ""https://logo.clearbit.com/innoflow.com"", ""sector"": ""CleanTech"", ""stage"": ""Series C""}, {""name"": ""EduDhan"", ""logo"": ""https://logo.clearbit.com/edudhan.com"", ""sector"": ""CleanTech"", ""stage"": ""Series A""}, {""name"": ""DukaanSecure"", ""logo"": ""https://logo.clearbit.com/dukaansecure.com"", ""sector"": ""CleanTech"", ""stage"": ""Late Stage""}]","[{""company_name"": ""ShipPay"", ""amount"": 7974000.0, ""date"": ""2025-12-11"", ""stage"": ""Series A""}, {""company_name"": ""AeroHub"", ""amount"": 8009000.0, ""date"": ""2026-06-25"", ""stage"": ""Series A""}, {""company_name"": ""ShikshaTrip"", ""amount"": 7717000.0, ""date"": ""2025-07-23"", ""stage"": ""Series C""}]","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&auto=format&fit=crop&q=80","[{""name"": ""Radhika Malhotra"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/indianangelventurepartners""}, {""name"": ""Sameer Sharma"", ""role"": ""Partner"", ""linkedin"": ""https://www.linkedin.com/in/sameer-sharma""}, {""name"": ""Anjali Mittal"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/anjali-mittal""}]"
"373","Deepak Vance","Independent","Angel Investor","https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=150&auto=format&fit=crop&q=60","Independent angel investor and startup operator backing early teams in Climate Tech.","We believe that the next decade of growth in India will be driven by digitizing traditional industries like Climate Tech and Agritech. We invest in category-defining companies with high capital efficiency.","[""Climate Tech"", ""Agritech"", ""Insurtech"", ""Deeptech""]","[""Growth"", ""Idea"", ""Prototype""]","[""Pre-Seed"", ""Growth"", ""Pre-Series A"", ""Series C"", ""Series B""]","[""SaaS"", ""B2B"", ""D2C"", ""B2B2C""]","[""Hyderabad"", ""Noida"", ""Bengaluru""]","9000.0","220000.0","126000.0","29","YatraFlow, UrjaHub, DukaanMind, FlexMind, ArogyaGo","0","66","https://www.deepakvance.com","https://www.linkedin.com/in/deepak-vance","hello@deepakvance.com","https://www.deepakvance.com/pitch","true","true","2026-01-27 18:31:29","2026-04-09 18:31:29","### About Deepak Vance

Deepak Vance is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Climate Tech**, **Agritech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.deepakvance.com/pitch.","https://images.unsplash.com/photo-1635070041078-e363dbe005cb?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366216548-37526070297c?w=600&auto=format&fit=crop&q=80","[{""name"": ""YatraFlow"", ""logo"": ""https://logo.clearbit.com/yatraflow.com"", ""sector"": ""Climate Tech"", ""stage"": ""Pre-Seed""}, {""name"": ""UrjaHub"", ""logo"": ""https://logo.clearbit.com/urjahub.com"", ""sector"": ""Climate Tech"", ""stage"": ""Pre-Seed""}, {""name"": ""DukaanMind"", ""logo"": ""https://logo.clearbit.com/dukaanmind.com"", ""sector"": ""Insurtech"", ""stage"": ""Pre-Series A""}]","[{""company_name"": ""KhataStay"", ""amount"": 118000.0, ""date"": ""2025-10-03"", ""stage"": ""Pre-Seed""}, {""company_name"": ""EcoMetrics"", ""amount"": 103000.0, ""date"": ""2025-10-06"", ""stage"": ""Series B""}, {""company_name"": ""FlexStack"", ""amount"": 139000.0, ""date"": ""2026-06-13"", ""stage"": ""Pre-Series A""}]","https://images.unsplash.com/photo-1560250097-0b93528c311a?w=400&auto=format&fit=crop&q=80","[{""name"": ""Deepak Vance"", ""role"": ""Investor"", ""linkedin"": ""https://www.linkedin.com/in/deepak-vance""}]"
"374","Unicorn Ventures","Unicorn Ventures","Family Office","https://images.unsplash.com/photo-1626908013351-800ddd734b8a?w=150&auto=format&fit=crop&q=60","Early-stage venture capital firm investing in the future of Web3 and Logistics.","We are a stage-agnostic fund investing in market leaders in Web3 and Logistics. We prioritize sustainable business models, solid unit economics, and experienced execution teams.","[""Web3"", ""Logistics"", ""Robotics"", ""Consumer Internet""]","[""Scaling"", ""Idea"", ""Prototype""]","[""Pre-Seed"", ""Late Stage""]","[""B2B2C"", ""Subscription"", ""Marketplace"", ""SaaS""]","[""Mumbai"", ""Ahmedabad"", ""Jaipur""]","1709000.0","7350000.0","3538000.0","23","GridPe, DhanMetrics, ByteIq, IntelMoney","1","70","https://www.unicornventures.com","https://www.linkedin.com/company/unicornventures","info@unicornventures.com","https://www.unicornventures.com/apply","true","true","2025-04-27 18:31:29","2025-07-20 18:31:29","### About Unicorn Ventures

Unicorn Ventures is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Web3**, **Logistics** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.unicornventures.com/apply.","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=600&auto=format&fit=crop&q=80","[{""name"": ""GridPe"", ""logo"": ""https://logo.clearbit.com/gridpe.com"", ""sector"": ""Consumer Internet"", ""stage"": ""Pre-Seed""}, {""name"": ""DhanMetrics"", ""logo"": ""https://logo.clearbit.com/dhanmetrics.com"", ""sector"": ""Consumer Internet"", ""stage"": ""Pre-Seed""}, {""name"": ""ByteIq"", ""logo"": ""https://logo.clearbit.com/byteiq.com"", ""sector"": ""Consumer Internet"", ""stage"": ""Pre-Seed""}]","[{""company_name"": ""UrjaBook"", ""amount"": 4143000.0, ""date"": ""2025-11-26"", ""stage"": ""Late Stage""}, {""company_name"": ""KhataPay"", ""amount"": 3635000.0, ""date"": ""2025-11-03"", ""stage"": ""Late Stage""}]","https://images.unsplash.com/photo-1560250097-0b93528c311a?w=400&auto=format&fit=crop&q=80","[{""name"": ""Shweta Bhasin"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/unicornventures""}, {""name"": ""Varun Puri"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/varun-puri""}, {""name"": ""Sudhir Nair"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/sudhir-nair""}]"
"375","Abhishek Nair","Independent","Angel Investor","https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=150&auto=format&fit=crop&q=60","Corporate venture arm investing strategically in high-growth companies in Agritech.","We believe that the next decade of growth in India will be driven by digitizing traditional industries like Agritech and D2C Brands. We invest in category-defining companies with high capital efficiency.","[""Agritech"", ""D2C Brands"", ""Proptech"", ""HRTech""]","[""Scaling"", ""Growth"", ""Prototype"", ""Early Traction""]","[""Growth"", ""Series A"", ""Series C""]","[""B2C"", ""Freemium"", ""Transactional""]","[""Ahmedabad"", ""Chennai"", ""Gurugram"", ""Bengaluru""]","10000.0","180000.0","73000.0","27","AquaTrip, FinStay, GridLy, ArogyaKart, SaaSDukaan, BharatDhan","1","61","https://www.abhisheknair.com","https://www.linkedin.com/in/abhishek-nair","hello@abhisheknair.com","https://www.abhisheknair.com/pitch","true","true","2023-12-31 18:31:29","2024-03-24 18:31:29","### About Abhishek Nair

Abhishek Nair is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Agritech**, **D2C Brands** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.abhisheknair.com/pitch.","https://images.unsplash.com/photo-1635070041078-e363dbe005cb?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=600&auto=format&fit=crop&q=80","[{""name"": ""AquaTrip"", ""logo"": ""https://logo.clearbit.com/aquatrip.com"", ""sector"": ""Proptech"", ""stage"": ""Growth""}, {""name"": ""FinStay"", ""logo"": ""https://logo.clearbit.com/finstay.com"", ""sector"": ""D2C Brands"", ""stage"": ""Series A""}, {""name"": ""GridLy"", ""logo"": ""https://logo.clearbit.com/gridly.com"", ""sector"": ""D2C Brands"", ""stage"": ""Series A""}]","[{""company_name"": ""AquaDesk"", ""amount"": 75000.0, ""date"": ""2025-08-04"", ""stage"": ""Growth""}, {""company_name"": ""YatraEasy"", ""amount"": 60000.0, ""date"": ""2025-12-24"", ""stage"": ""Series C""}, {""company_name"": ""NovaPe"", ""amount"": 63000.0, ""date"": ""2026-04-28"", ""stage"": ""Series C""}]","https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=400&auto=format&fit=crop&q=80","[{""name"": ""Abhishek Nair"", ""role"": ""Investor"", ""linkedin"": ""https://www.linkedin.com/in/abhishek-nair""}]"
"376","Peak Studio","Peak Studio","Venture Debt","https://images.unsplash.com/photo-1614850709597-25a1659779df?w=150&auto=format&fit=crop&q=60","Micro VC fund partnering with founders at the idea and prototype stage in Climate Tech and Edtech.","We believe that the next decade of growth in India will be driven by digitizing traditional industries like Climate Tech and Edtech. We invest in category-defining companies with high capital efficiency.","[""Climate Tech"", ""Edtech"", ""Web3"", ""Enterprise Software"", ""B2B Marketplaces"", ""Robotics"", ""E-commerce""]","[""Scaling"", ""MVP""]","[""Series C"", ""Seed"", ""Late Stage""]","[""Freemium"", ""Transactional"", ""B2C"", ""B2B"", ""D2C""]","[""Bengaluru"", ""Ahmedabad""]","939000.0","3630000.0","2311000.0","31","KrishiIfy, DhanWorks, GrowDhan, ShikshaSecure","1","51","https://www.peakstudio.com","https://www.linkedin.com/company/peakstudio","info@peakstudio.com","https://www.peakstudio.com/apply","true","true","2024-07-17 18:31:29","2024-09-29 18:31:29","### About Peak Studio

Peak Studio is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Climate Tech**, **Edtech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.peakstudio.com/apply.","https://images.unsplash.com/photo-1557683316-973673baf926?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=600&auto=format&fit=crop&q=80","[{""name"": ""KrishiIfy"", ""logo"": ""https://logo.clearbit.com/krishiify.com"", ""sector"": ""Robotics"", ""stage"": ""Seed""}, {""name"": ""DhanWorks"", ""logo"": ""https://logo.clearbit.com/dhanworks.com"", ""sector"": ""Enterprise Software"", ""stage"": ""Series C""}, {""name"": ""GrowDhan"", ""logo"": ""https://logo.clearbit.com/growdhan.com"", ""sector"": ""Robotics"", ""stage"": ""Series C""}]","[{""company_name"": ""PulseLabs"", ""amount"": 2296000.0, ""date"": ""2025-07-12"", ""stage"": ""Late Stage""}, {""company_name"": ""BioStay"", ""amount"": 1936000.0, ""date"": ""2025-08-19"", ""stage"": ""Late Stage""}, {""company_name"": ""AquaMind"", ""amount"": 1960000.0, ""date"": ""2025-09-08"", ""stage"": ""Late Stage""}]","https://images.unsplash.com/photo-1534528741775-53994a69daeb?w=400&auto=format&fit=crop&q=80","[{""name"": ""Vihan Nair"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/peakstudio""}, {""name"": ""Rajesh Rao"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/rajesh-rao""}, {""name"": ""Aakash Gill"", ""role"": ""Venture Partner"", ""linkedin"": ""https://www.linkedin.com/in/aakash-gill""}]"
"377","Sameer Chatterjee","Independent","Angel Investor","https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=150&auto=format&fit=crop&q=60","Independent angel investor and startup operator backing early teams in B2B Marketplaces.","We invest in double-bottom-line startups addressing systemic gaps in B2B Marketplaces and Deeptech. We look for high social/environmental impact combined with commercially viable models.","[""B2B Marketplaces"", ""Deeptech"", ""Climate Tech"", ""D2C Brands""]","[""Early Traction"", ""Scaling""]","[""Pre-Series A"", ""Seed"", ""Pre-Seed""]","[""B2C"", ""D2C"", ""B2B2C"", ""Freemium"", ""B2B""]","[""Bengaluru"", ""Chennai"", ""Hyderabad""]","21000.0","50000.0","37000.0","28","KrishiHub, KhataEasy, CoreIq, HyperDesk, KhataPay, LogiPe, PulseWorks","0","51","https://www.sameerchatterjee.com","https://www.linkedin.com/in/sameer-chatterjee","hello@sameerchatterjee.com","https://www.sameerchatterjee.com/pitch","true","true","2023-11-10 18:31:29","2024-01-12 18:31:29","### About Sameer Chatterjee

Sameer Chatterjee is a leading early/growth stage investor focusing on tech enablement. We backing startups in **B2B Marketplaces**, **Deeptech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.sameerchatterjee.com/pitch.","https://images.unsplash.com/photo-1557683316-973673baf926?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=600&auto=format&fit=crop&q=80","[{""name"": ""KrishiHub"", ""logo"": ""https://logo.clearbit.com/krishihub.com"", ""sector"": ""B2B Marketplaces"", ""stage"": ""Pre-Series A""}, {""name"": ""KhataEasy"", ""logo"": ""https://logo.clearbit.com/khataeasy.com"", ""sector"": ""B2B Marketplaces"", ""stage"": ""Seed""}, {""name"": ""CoreIq"", ""logo"": ""https://logo.clearbit.com/coreiq.com"", ""sector"": ""Deeptech"", ""stage"": ""Seed""}]","[{""company_name"": ""IndiBook"", ""amount"": 30000.0, ""date"": ""2025-12-08"", ""stage"": ""Seed""}, {""company_name"": ""FinDesk"", ""amount"": 40000.0, ""date"": ""2025-07-24"", ""stage"": ""Seed""}]","https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=400&auto=format&fit=crop&q=80","[{""name"": ""Sameer Chatterjee"", ""role"": ""Investor"", ""linkedin"": ""https://www.linkedin.com/in/sameer-chatterjee""}]"
"378","Arjun Chatterjee","Independent","Angel Investor","https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=150&auto=format&fit=crop&q=60","Corporate venture arm investing strategically in high-growth companies in HRTech.","Our syndicate of successful operators and executives invest in early stages of HRTech and Deeptech. We bring strategic advisory, customer intros, and follow-on connections.","[""HRTech"", ""Deeptech"", ""Web3"", ""Healthcare"", ""Cybersecurity""]","[""Prototype"", ""Scaling"", ""Early Traction""]","[""Series B"", ""Series C"", ""Seed"", ""Growth"", ""Pre-Seed""]","[""B2C"", ""Freemium"", ""Subscription""]","[""Jaipur"", ""Kolkata""]","15000.0","190000.0","95000.0","10","SaaSBook, DhanSecure, AeroShow, LogiFit, FlowMetrics","0","21","https://www.arjunchatterjee.com","https://www.linkedin.com/in/arjun-chatterjee","hello@arjunchatterjee.com","https://www.arjunchatterjee.com/pitch","true","true","2024-09-07 18:31:29","2024-11-17 18:31:29","### About Arjun Chatterjee

Arjun Chatterjee is a leading early/growth stage investor focusing on tech enablement. We backing startups in **HRTech**, **Deeptech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.arjunchatterjee.com/pitch.","https://images.unsplash.com/photo-1635070041078-e363dbe005cb?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=600&auto=format&fit=crop&q=80","[{""name"": ""SaaSBook"", ""logo"": ""https://logo.clearbit.com/saasbook.com"", ""sector"": ""Deeptech"", ""stage"": ""Growth""}, {""name"": ""DhanSecure"", ""logo"": ""https://logo.clearbit.com/dhansecure.com"", ""sector"": ""Deeptech"", ""stage"": ""Seed""}, {""name"": ""AeroShow"", ""logo"": ""https://logo.clearbit.com/aeroshow.com"", ""sector"": ""HRTech"", ""stage"": ""Series B""}]","[{""company_name"": ""MetaMetrics"", ""amount"": 104000.0, ""date"": ""2025-07-30"", ""stage"": ""Series C""}, {""company_name"": ""IndiShow"", ""amount"": 91000.0, ""date"": ""2026-06-06"", ""stage"": ""Series B""}]","https://images.unsplash.com/photo-1560250097-0b93528c311a?w=400&auto=format&fit=crop&q=80","[{""name"": ""Arjun Chatterjee"", ""role"": ""Investor"", ""linkedin"": ""https://www.linkedin.com/in/arjun-chatterjee""}]"
